person_id,age,income,employment_status,education_level
P000000001,39,59800,Unemployed,Bachelor
P000000002,35,59100,Self-Employed,Bachelor
P000000003,31,55000,Employed,Master
P000000004,31,27600,Retired,High School
P000000005,23,29300,Student,Master
P000000006,29,30500,Student,Associate
P000000007,26,52700,Self-Employed,Master
P000000008,49,32400,Employed,High School
P000000009,41,48600,Employed,Bachelor
P000000010,27,25600,Employed,High School
P000000011,18,23000,Student,Bachelor
P000000012,43,50100,Employed,Bachelor
P000000013,25
P000000014,35,65400,Employed,Master
P000000015,36,50500,Self-Employed,Bachelor
P000000016,39,39100,Self-Employed,Associate
P000000017,23,18900,Student,Bachelor
P000000018,35,55400,Self-Employed,Bachelor
P000000019,42,71300,Self-Employed,Master
P000000020,61,33800,Employed,Associate
P000000021,47,40000,Employed,High School
P000000022,45,93400,Employed,PhD
P000000023,28,64900,Student,PhD
P000000024,24,20300,Employed,Bachelor
P000000025,67,38400,Retired,Associate
P000000026,57,49000,Employed,Bachelor
P000000027,26,51700,Self-Employed,Master
P000000028,32,40900,Employed,Bachelor
P000000029,25,N/A,Employed,Bachelor
P000000030,44,67800,Self-Employed,Master
P000000031,40,58100,Employed,Master
P000000032,48,76200,Self-Employed,Master
P000000033,31,55500,Employed,Master
P000000034,34,47400,Employed,Master
P000000035,37,61200,Employed,Master
P000000036,38,44500,Unemployed,Bachelor
P000000037,38,69400,Retired,Master
P000000038,31,26600,Employed,High School
P000000039,50,68600,Employed,Master
P000000040,50,102200,Employed,PhD
P000000041,55,83400,Employed,PhD
P000000042,32,38200,Employed,Bachelor
P000000043,38,62900,Self-Employed,Master
P000000044,42,52100,Employed,Bachelor
P000000045,53,33400,Employed,High School
P000000046,34,30700,Employed,Associate
P000000047,50,59900,Unemployed,Bachelor
P000000048,60,46000,Self-Employed,Bachelor
P000000049,47,84700,Retired,Master
P000000050,65,31600,Self-Employed,High School
P000000051,41,69000,Self-Employed,Master
P000000052,42,73800,Unemployed,Master
P000000053,49,65500,Employed,Master
P000000054,46,66300,Employed,Master
P000000055,41,57000,Unemployed,Bachelor
